"age_c" "gender_c" "occupation_c" "population"
"1495" "23 to 24" "Male" "Fabricage van lijsten" 13
"1496" "25 to 35" "Male" "Fabricage van lijsten" 48
"1497" "36 to 50" "Male" "Fabricage van lijsten" 53
"1498" "51 to 60" "Male" "Fabricage van lijsten" 13
"1499" "61 to 65" "Male" "Fabricage van lijsten" 7
"1500" "66 to 70" "Male" "Fabricage van lijsten" 4
"1501" "Older than 70" "Male" "Fabricage van lijsten" 1
"1502" "14 to 15" "Female" "Fabricage van lijsten" 4
"1503" "51 to 60" "Female" "Fabricage van lijsten" 1
"1504" "12" "Male" "Fabricage van likeuren" 1
"1505" "14 to 15" "Male" "Fabricage van likeuren" 5
"1506" "16 to 17" "Male" "Fabricage van likeuren" 17
"1507" "18 to 22" "Male" "Fabricage van likeuren" 38
"1508" "23 to 24" "Male" "Fabricage van likeuren" 17
"1509" "25 to 35" "Male" "Fabricage van likeuren" 76
"1510" "36 to 50" "Male" "Fabricage van likeuren" 57
"1511" "51 to 60" "Male" "Fabricage van likeuren" 26
"1512" "61 to 65" "Male" "Fabricage van likeuren" 5
"1513" "66 to 70" "Male" "Fabricage van likeuren" 7
"1514" "Older than 70" "Male" "Fabricage van likeuren" 2
"1515" "Older than 70" "Female" "Fabricage van likeuren" 1
"1516" "36 to 50" "Male" "Fabricage van linnen" 3
"1517" "Older than 70" "Male" "Fabricage van linnen" 1
"1518" "36 to 50" "Female" "Fabricage van linnen" 1
"1519" "23 to 24" "Male" "Fabricage van loodwit" 1
"1520" "25 to 35" "Male" "Fabricage van loodwit" 8
"1521" "36 to 50" "Male" "Fabricage van loodwit" 12
"1522" "51 to 60" "Male" "Fabricage van loodwit" 10
"1523" "61 to 65" "Male" "Fabricage van loodwit" 1
"1524" "Older than 70" "Female" "Fabricage van loodwit" 1
"1525" "51 to 60" "Male" "Fabricage van lucifers (incl. zwavelstokken)" 1
"1526" "51 to 60" "Male" "Fabricage van machinepoeder" 1
"1527" "14 to 15" "Male" "Fabricage van machines" 6
"1528" "16 to 17" "Male" "Fabricage van machines" 11
"1529" "18 to 22" "Male" "Fabricage van machines" 12
"1530" "23 to 24" "Male" "Fabricage van machines" 5
"1531" "25 to 35" "Male" "Fabricage van machines" 24
"1532" "36 to 50" "Male" "Fabricage van machines" 41
"1533" "51 to 60" "Male" "Fabricage van machines" 16
"1534" "61 to 65" "Male" "Fabricage van machines" 7
"1535" "66 to 70" "Male" "Fabricage van machines" 1
"1536" "Older than 70" "Male" "Fabricage van machines" 1
"1537" "12" "Male" "Fabricage van manden en mandenwerk" 3
"1538" "13" "Male" "Fabricage van manden en mandenwerk" 8
"1539" "14 to 15" "Male" "Fabricage van manden en mandenwerk" 16
"1540" "16 to 17" "Male" "Fabricage van manden en mandenwerk" 17
"1541" "18 to 22" "Male" "Fabricage van manden en mandenwerk" 22
"1542" "23 to 24" "Male" "Fabricage van manden en mandenwerk" 22
"1543" "25 to 35" "Male" "Fabricage van manden en mandenwerk" 135
"1544" "36 to 50" "Male" "Fabricage van manden en mandenwerk" 177
"1545" "51 to 60" "Male" "Fabricage van manden en mandenwerk" 70
"1546" "61 to 65" "Male" "Fabricage van manden en mandenwerk" 29
"1547" "66 to 70" "Male" "Fabricage van manden en mandenwerk" 15
"1548" "Older than 70" "Male" "Fabricage van manden en mandenwerk" 7
"1549" "23 to 24" "Female" "Fabricage van manden en mandenwerk" 1
"1550" "36 to 50" "Female" "Fabricage van manden en mandenwerk" 2
"1551" "Older than 70" "Female" "Fabricage van manden en mandenwerk" 1
"1552" "25 to 35" "Male" "Fabricage van mantels" 1
"1553" "23 to 24" "Male" "Fabricage van marmerwaren" 1
"1554" "36 to 50" "Male" "Fabricage van marmerwaren" 2
"1555" "51 to 60" "Male" "Fabricage van marmerwaren" 1
"1556" "61 to 65" "Male" "Fabricage van marmerwaren" 1
"1557" "12" "Male" "Fabricage van matten " 2
"1558" "13" "Male" "Fabricage van matten " 3
"1559" "14 to 15" "Male" "Fabricage van matten " 2
"1560" "16 to 17" "Male" "Fabricage van matten " 4
"1561" "18 to 22" "Male" "Fabricage van matten " 8
"1562" "23 to 24" "Male" "Fabricage van matten " 2
"1563" "25 to 35" "Male" "Fabricage van matten " 12
"1564" "36 to 50" "Male" "Fabricage van matten " 16
"1565" "51 to 60" "Male" "Fabricage van matten " 11
"1566" "61 to 65" "Male" "Fabricage van matten " 5
"1567" "66 to 70" "Male" "Fabricage van matten " 4
"1568" "Older than 70" "Male" "Fabricage van matten " 3
"1569" "14 to 15" "Female" "Fabricage van matten " 1
"1570" "16 to 17" "Female" "Fabricage van matten " 1
"1571" "18 to 22" "Female" "Fabricage van matten " 1
"1572" "36 to 50" "Female" "Fabricage van matten " 1
"1573" "Older than 70" "Female" "Fabricage van matten " 1
"1574" "36 to 50" "Male" "Fabricage van matten stoelen" 1
"1575" "51 to 60" "Male" "Fabricage van matten stoelen" 1
"1576" "16 to 17" "Male" "Fabricage van meel" 2
"1577" "18 to 22" "Male" "Fabricage van meel" 6
"1578" "23 to 24" "Male" "Fabricage van meel" 2
"1579" "25 to 35" "Male" "Fabricage van meel" 18
"1580" "36 to 50" "Male" "Fabricage van meel" 23
"1581" "51 to 60" "Male" "Fabricage van meel" 8
"1582" "61 to 65" "Male" "Fabricage van meel" 2
"1583" "66 to 70" "Male" "Fabricage van meel" 1
"1584" "Older than 70" "Male" "Fabricage van meel" 1
"1585" "14 to 15" "Male" "Fabricage van metaalwerken" 1
"1586" "16 to 17" "Male" "Fabricage van metaalwerken" 1
"1587" "18 to 22" "Male" "Fabricage van metaalwerken" 1
"1588" "25 to 35" "Male" "Fabricage van metaalwerken" 4
"1589" "36 to 50" "Male" "Fabricage van metaalwerken" 7
"1590" "51 to 60" "Male" "Fabricage van metaalwerken" 2
"1591" "61 to 65" "Male" "Fabricage van metaalwerken" 3
"1592" "66 to 70" "Male" "Fabricage van metaalwerken" 1
"1593" "16 to 17" "Female" "Fabricage van metaalwerken" 1
"1594" "12" "Male" "Fabricage van meubels (meubelmakers)" 27
"1595" "13" "Male" "Fabricage van meubels (meubelmakers)" 73
"1596" "14 to 15" "Male" "Fabricage van meubels (meubelmakers)" 183
"1597" "16 to 17" "Male" "Fabricage van meubels (meubelmakers)" 178
"1598" "18 to 22" "Male" "Fabricage van meubels (meubelmakers)" 483
"1599" "23 to 24" "Male" "Fabricage van meubels (meubelmakers)" 132
"1600" "25 to 35" "Male" "Fabricage van meubels (meubelmakers)" 818
"1601" "36 to 50" "Male" "Fabricage van meubels (meubelmakers)" 787
"1602" "51 to 60" "Male" "Fabricage van meubels (meubelmakers)" 288
"1603" "61 to 65" "Male" "Fabricage van meubels (meubelmakers)" 96
"1604" "66 to 70" "Male" "Fabricage van meubels (meubelmakers)" 70
"1605" "Older than 70" "Male" "Fabricage van meubels (meubelmakers)" 37
"1606" "66 to 70" "Female" "Fabricage van meubels (meubelmakers)" 1
"1607" "25 to 35" "Male" "Fabricage van militaire ornamenten" 1
"1608" "36 to 50" "Male" "Fabricage van militaire ornamenten" 2
"1609" "51 to 60" "Male" "Fabricage van militaire ornamenten" 1
"1610" "61 to 65" "Male" "Fabricage van militaire ornamenten" 1
"1611" "66 to 70" "Male" "Fabricage van militaire ornamenten" 1
"1612" "14 to 15" "Male" "Fabricage van minerale wateren" 2
"1613" "16 to 17" "Male" "Fabricage van minerale wateren" 2
"1614" "18 to 22" "Male" "Fabricage van minerale wateren" 10
"1615" "23 to 24" "Male" "Fabricage van minerale wateren" 3
"1616" "25 to 35" "Male" "Fabricage van minerale wateren" 12
"1617" "36 to 50" "Male" "Fabricage van minerale wateren" 22
"1618" "51 to 60" "Male" "Fabricage van minerale wateren" 8
"1619" "61 to 65" "Male" "Fabricage van minerale wateren" 3
"1620" "66 to 70" "Male" "Fabricage van minerale wateren" 1
"1621" "51 to 60" "Female" "Fabricage van minerale wateren" 1
"1622" "13" "Male" "Fabricage van mosterd" 1
"1623" "16 to 17" "Male" "Fabricage van mosterd" 2
"1624" "23 to 24" "Male" "Fabricage van mosterd" 1
"1625" "25 to 35" "Male" "Fabricage van mosterd" 2
"1626" "36 to 50" "Male" "Fabricage van mosterd" 4
"1627" "51 to 60" "Male" "Fabricage van mosterd" 1
"1628" "Older than 70" "Male" "Fabricage van mosterd" 1
"1629" "36 to 50" "Female" "Fabricage van mosterd" 1
"1630" "13" "Male" "Fabricage van muziekinstrumenten" 4
"1631" "14 to 15" "Male" "Fabricage van muziekinstrumenten" 13
"1632" "16 to 17" "Male" "Fabricage van muziekinstrumenten" 16
"1633" "18 to 22" "Male" "Fabricage van muziekinstrumenten" 23
"1634" "23 to 24" "Male" "Fabricage van muziekinstrumenten" 10
"1635" "25 to 35" "Male" "Fabricage van muziekinstrumenten" 27
"1636" "36 to 50" "Male" "Fabricage van muziekinstrumenten" 34
"1637" "51 to 60" "Male" "Fabricage van muziekinstrumenten" 17
"1638" "61 to 65" "Male" "Fabricage van muziekinstrumenten" 7
"1639" "66 to 70" "Male" "Fabricage van muziekinstrumenten" 4
"1640" "Older than 70" "Male" "Fabricage van muziekinstrumenten" 5
"1641" "18 to 22" "Female" "Fabricage van muziekinstrumenten" 1
"1642" "25 to 35" "Male" "Fabricage van naaimachines" 1
"1643" "36 to 50" "Male" "Fabricage van naaimachines" 4
"1644" "13" "Male" "Fabricage van naalden" 1
"1645" "14 to 15" "Male" "Fabricage van naalden" 1
"1646" "18 to 22" "Male" "Fabricage van naalden" 1
"1647" "36 to 50" "Male" "Fabricage van naalden" 1
"1648" "51 to 60" "Male" "Fabricage van naalden" 1
"1649" "Older than 70" "Male" "Fabricage van naalden" 1
"1650" "14 to 15" "Male" "Fabricage van nagels en spijkers" 2
"1651" "25 to 35" "Male" "Fabricage van netten" 7
"1652" "36 to 50" "Male" "Fabricage van netten" 12
"1653" "14 to 15" "Female" "Fabricage van netten" 4
"1654" "16 to 17" "Female" "Fabricage van netten" 4
"1655" "18 to 22" "Female" "Fabricage van netten" 7
"1656" "Younger than 12" "Female" "Fabricage van netten" 1
"1657" "23 to 24" "Female" "Fabricage van netten" 1
"1658" "25 to 35" "Female" "Fabricage van netten" 2
"1659" "36 to 50" "Female" "Fabricage van netten" 3
"1660" "13" "Male" "Fabricage van olie (olieslagers) " 1
"1661" "14 to 15" "Male" "Fabricage van olie (olieslagers) " 1
"1662" "16 to 17" "Male" "Fabricage van olie (olieslagers) " 5
"1663" "18 to 22" "Male" "Fabricage van olie (olieslagers) " 8
"1664" "25 to 35" "Male" "Fabricage van olie (olieslagers) " 10
"1665" "36 to 50" "Male" "Fabricage van olie (olieslagers) " 19
"1666" "51 to 60" "Male" "Fabricage van olie (olieslagers) " 13
"1667" "61 to 65" "Male" "Fabricage van olie (olieslagers) " 2
"1668" "66 to 70" "Male" "Fabricage van olie (olieslagers) " 4
"1669" "13" "Male" "Fabricage van oranjesnippers" 1
"1670" "25 to 35" "Male" "Fabricage van oranjesnippers" 2
"1671" "51 to 60" "Male" "Fabricage van oranjesnippers" 1
"1672" "61 to 65" "Male" "Fabricage van oranjesnippers" 1
"1673" "Older than 70" "Male" "Fabricage van oranjesnippers" 1
"1674" "14 to 15" "Male" "Fabricage van papier" 2
"1675" "16 to 17" "Male" "Fabricage van papier" 1
"1676" "18 to 22" "Male" "Fabricage van papier" 2
"1677" "23 to 24" "Male" "Fabricage van papier" 1
"1678" "36 to 50" "Male" "Fabricage van papier" 7
"1679" "51 to 60" "Male" "Fabricage van papier" 1
"1680" "Older than 70" "Male" "Fabricage van papier" 1
"1681" "13" "Female" "Fabricage van papier" 1
"1682" "16 to 17" "Female" "Fabricage van papier" 3
"1683" "18 to 22" "Female" "Fabricage van papier" 4
"1684" "23 to 24" "Female" "Fabricage van papier" 2
"1685" "25 to 35" "Female" "Fabricage van papier" 3
"1686" "14 to 15" "Male" "Fabricage van papierwaren" 1
"1687" "23 to 24" "Male" "Fabricage van papierwaren" 1
"1688" "36 to 50" "Male" "Fabricage van papierwaren" 1
"1689" "66 to 70" "Male" "Fabricage van papierwaren" 1
"1690" "12" "Male" "Fabricage van parapluien" 1
"1691" "14 to 15" "Male" "Fabricage van parapluien" 5
"1692" "16 to 17" "Male" "Fabricage van parapluien" 4
"1693" "18 to 22" "Male" "Fabricage van parapluien" 7
"1694" "23 to 24" "Male" "Fabricage van parapluien" 3
"1695" "25 to 35" "Male" "Fabricage van parapluien" 23
"1696" "36 to 50" "Male" "Fabricage van parapluien" 34
"1697" "51 to 60" "Male" "Fabricage van parapluien" 11
"1698" "61 to 65" "Male" "Fabricage van parapluien" 4
"1699" "66 to 70" "Male" "Fabricage van parapluien" 1
"1700" "Older than 70" "Male" "Fabricage van parapluien" 5
"1701" "18 to 22" "Female" "Fabricage van parapluien" 1
"1702" "36 to 50" "Female" "Fabricage van parapluien" 1
"1703" "51 to 60" "Female" "Fabricage van parapluien" 2
"1704" "61 to 65" "Female" "Fabricage van parapluien" 1
"1705" "18 to 22" "Male" "Fabricage van parfumerien" 1
"1706" "25 to 35" "Male" "Fabricage van parfumerien" 1
"1707" "51 to 60" "Male" "Fabricage van parfumerien" 1
"1708" "61 to 65" "Male" "Fabricage van parfumerien" 1
"1709" "66 to 70" "Male" "Fabricage van parfumerien" 1
"1710" "16 to 17" "Female" "Fabricage van parfumerien" 1
"1711" "18 to 22" "Female" "Fabricage van parfumerien" 1
"1712" "36 to 50" "Female" "Fabricage van parfumerien" 1
"1713" "18 to 22" "Male" "Fabricage van parketvloeren" 1
"1714" "12" "Male" "Fabricage van passementeriën" 4
"1715" "13" "Male" "Fabricage van passementeriën" 6
"1716" "14 to 15" "Male" "Fabricage van passementeriën" 27
"1717" "16 to 17" "Male" "Fabricage van passementeriën" 13
"1718" "18 to 22" "Male" "Fabricage van passementeriën" 31
"1719" "23 to 24" "Male" "Fabricage van passementeriën" 9
"1720" "25 to 35" "Male" "Fabricage van passementeriën" 29
"1721" "36 to 50" "Male" "Fabricage van passementeriën" 30
"1722" "51 to 60" "Male" "Fabricage van passementeriën" 20
"1723" "61 to 65" "Male" "Fabricage van passementeriën" 9
"1724" "66 to 70" "Male" "Fabricage van passementeriën" 3
"1725" "Older than 70" "Male" "Fabricage van passementeriën" 2
"1726" "12" "Female" "Fabricage van passementeriën" 3
"1727" "13" "Female" "Fabricage van passementeriën" 1
"1728" "14 to 15" "Female" "Fabricage van passementeriën" 6
"1729" "16 to 17" "Female" "Fabricage van passementeriën" 8
"1730" "18 to 22" "Female" "Fabricage van passementeriën" 12
"1731" "23 to 24" "Female" "Fabricage van passementeriën" 3
"1732" "25 to 35" "Female" "Fabricage van passementeriën" 1
"1733" "36 to 50" "Female" "Fabricage van passementeriën" 1
"1734" "51 to 60" "Female" "Fabricage van passementeriën" 2
"1735" "66 to 70" "Female" "Fabricage van passementeriën" 1
"1736" "16 to 17" "Male" "Fabricage van patronen (modellen)" 1
"1737" "18 to 22" "Male" "Fabricage van patronen (modellen)" 1
"1738" "23 to 24" "Male" "Fabricage van patronen (modellen)" 1
"1739" "25 to 35" "Male" "Fabricage van patronen (modellen)" 1
"1740" "36 to 50" "Male" "Fabricage van patronen (modellen)" 1
"1741" "18 to 22" "Female" "Fabricage van patronen (modellen)" 1
"1742" "61 to 65" "Male" "Fabricage van penseelen" 1
"1743" "13" "Male" "Fabricage van pepermunt" 1
"1744" "14 to 15" "Male" "Fabricage van pepermunt" 2
"1745" "23 to 24" "Male" "Fabricage van pepermunt" 1
"1746" "25 to 35" "Male" "Fabricage van pepermunt" 1
"1747" "36 to 50" "Male" "Fabricage van pepermunt" 2
"1748" "51 to 60" "Male" "Fabricage van pepermunt" 1
"1749" "18 to 22" "Male" "Fabricage van photographiepreparaten" 2
"1750" "25 to 35" "Male" "Fabricage van raamhorren" 1
"1751" "25 to 35" "Male" "Fabricage van reisartikelen" 1
"1752" "36 to 50" "Male" "Fabricage van reisartikelen" 1
"1753" "61 to 65" "Male" "Fabricage van ridderorden" 1
"1754" "14 to 15" "Male" "Fabricage van rieten matten" 1
"1755" "25 to 35" "Male" "Fabricage van rieten matten" 2
"1756" "13" "Male" "Fabricage van rijtuigen" 1
"1757" "14 to 15" "Male" "Fabricage van rijtuigen" 7
"1758" "16 to 17" "Male" "Fabricage van rijtuigen" 4
"1759" "18 to 22" "Male" "Fabricage van rijtuigen" 17
"1760" "23 to 24" "Male" "Fabricage van rijtuigen" 6
"1761" "25 to 35" "Male" "Fabricage van rijtuigen" 28
"1762" "36 to 50" "Male" "Fabricage van rijtuigen" 29
"1763" "51 to 60" "Male" "Fabricage van rijtuigen" 10
"1764" "61 to 65" "Male" "Fabricage van rijtuigen" 3
"1765" "66 to 70" "Male" "Fabricage van rijtuigen" 2
"1766" "Older than 70" "Male" "Fabricage van rijtuigen" 1
"1767" "25 to 35" "Male" "Fabricage van rijwielen" 4
"1768" "36 to 50" "Male" "Fabricage van rijwielen" 3
"1769" "12" "Male" "Fabricage van schoenen (schoenmakers)" 47
"1770" "13" "Male" "Fabricage van schoenen (schoenmakers)" 127
"1771" "14 to 15" "Male" "Fabricage van schoenen (schoenmakers)" 376
"1772" "16 to 17" "Male" "Fabricage van schoenen (schoenmakers)" 363
"1773" "18 to 22" "Male" "Fabricage van schoenen (schoenmakers)" 657
"1774" "23 to 24" "Male" "Fabricage van schoenen (schoenmakers)" 275
"1775" "25 to 35" "Male" "Fabricage van schoenen (schoenmakers)" 1042
"1776" "36 to 50" "Male" "Fabricage van schoenen (schoenmakers)" 1159
"1777" "51 to 60" "Male" "Fabricage van schoenen (schoenmakers)" 451
"1778" "61 to 65" "Male" "Fabricage van schoenen (schoenmakers)" 244
"1779" "66 to 70" "Male" "Fabricage van schoenen (schoenmakers)" 179
"1780" "Older than 70" "Male" "Fabricage van schoenen (schoenmakers)" 140
"1781" "16 to 17" "Female" "Fabricage van schoenen (schoenmakers)" 4
"1782" "18 to 22" "Female" "Fabricage van schoenen (schoenmakers)" 9
"1783" "23 to 24" "Female" "Fabricage van schoenen (schoenmakers)" 3
"1784" "25 to 35" "Female" "Fabricage van schoenen (schoenmakers)" 10
"1785" "36 to 50" "Female" "Fabricage van schoenen (schoenmakers)" 14
"1786" "51 to 60" "Female" "Fabricage van schoenen (schoenmakers)" 1
"1787" "61 to 65" "Female" "Fabricage van schoenen (schoenmakers)" 5
"1788" "66 to 70" "Female" "Fabricage van schoenen (schoenmakers)" 1
"1789" "12" "Male" "Fabricage van sigaren en tabak" 38
"1790" "13" "Male" "Fabricage van sigaren en tabak" 97
"1791" "14 to 15" "Male" "Fabricage van sigaren en tabak" 261
"1792" "16 to 17" "Male" "Fabricage van sigaren en tabak" 249
"1793" "18 to 22" "Male" "Fabricage van sigaren en tabak" 431
"1794" "23 to 24" "Male" "Fabricage van sigaren en tabak" 175
"1795" "25 to 35" "Male" "Fabricage van sigaren en tabak" 795
"1796" "36 to 50" "Male" "Fabricage van sigaren en tabak" 801
"1797" "51 to 60" "Male" "Fabricage van sigaren en tabak" 355
"1798" "61 to 65" "Male" "Fabricage van sigaren en tabak" 73
"1799" "66 to 70" "Male" "Fabricage van sigaren en tabak" 40
"1800" "Older than 70" "Male" "Fabricage van sigaren en tabak" 11
"1801" "12" "Female" "Fabricage van sigaren en tabak" 3
"1802" "13" "Female" "Fabricage van sigaren en tabak" 9
"1803" "14 to 15" "Female" "Fabricage van sigaren en tabak" 22
"1804" "16 to 17" "Female" "Fabricage van sigaren en tabak" 33
"1805" "18 to 22" "Female" "Fabricage van sigaren en tabak" 27
"1806" "23 to 24" "Female" "Fabricage van sigaren en tabak" 7
"1807" "25 to 35" "Female" "Fabricage van sigaren en tabak" 19
"1808" "36 to 50" "Female" "Fabricage van sigaren en tabak" 17
"1809" "51 to 60" "Female" "Fabricage van sigaren en tabak" 5
"1810" "61 to 65" "Female" "Fabricage van sigaren en tabak" 4
"1811" "66 to 70" "Female" "Fabricage van sigaren en tabak" 1
"1812" "Older than 70" "Female" "Fabricage van sigaren en tabak" 2
"1813" "12" "Male" "Fabricage van sigarenkisten" 5
"1814" "13" "Male" "Fabricage van sigarenkisten" 10
"1815" "14 to 15" "Male" "Fabricage van sigarenkisten" 19
"1816" "16 to 17" "Male" "Fabricage van sigarenkisten" 13
"1817" "18 to 22" "Male" "Fabricage van sigarenkisten" 20
"1818" "23 to 24" "Male" "Fabricage van sigarenkisten" 9
"1819" "25 to 35" "Male" "Fabricage van sigarenkisten" 44
"1820" "36 to 50" "Male" "Fabricage van sigarenkisten" 65
"1821" "51 to 60" "Male" "Fabricage van sigarenkisten" 21
"1822" "61 to 65" "Male" "Fabricage van sigarenkisten" 3
"1823" "66 to 70" "Male" "Fabricage van sigarenkisten" 4
"1824" "Older than 70" "Male" "Fabricage van sigarenkisten" 1
"1825" "16 to 17" "Female" "Fabricage van sigarenkisten" 1
"1826" "36 to 50" "Female" "Fabricage van sigarenkisten" 1
"1827" "51 to 60" "Female" "Fabricage van sigarenkisten" 1
"1828" "Older than 70" "Female" "Fabricage van sigarenkisten" 2
"1829" "18 to 22" "Male" "Fabricage van siroop" 1
"1830" "25 to 35" "Male" "Fabricage van siroop" 1
"1831" "36 to 50" "Male" "Fabricage van siroop" 3
"1832" "51 to 60" "Male" "Fabricage van siroop" 4
"1833" "61 to 65" "Male" "Fabricage van siroop" 2
"1834" "66 to 70" "Male" "Fabricage van siroop" 1
"1835" "Older than 70" "Male" "Fabricage van siroop" 1
"1836" "36 to 50" "Male" "Fabricage van snuif" 1
"1837" "18 to 22" "Male" "Fabricage van speelgoed" 2
"1838" "23 to 24" "Male" "Fabricage van speelgoed" 1
"1839" "25 to 35" "Male" "Fabricage van speelgoed" 4
"1840" "36 to 50" "Male" "Fabricage van speelgoed" 1
"1841" "61 to 65" "Male" "Fabricage van speelgoed" 2
"1842" "66 to 70" "Male" "Fabricage van speelgoed" 1
"1843" "51 to 60" "Female" "Fabricage van speelgoed" 1
"1844" "12" "Male" "Fabricage van spiegels" 3
"1845" "13" "Male" "Fabricage van spiegels" 2
"1846" "14 to 15" "Male" "Fabricage van spiegels" 9
